"","cntry","cntryID","year","AvgS_a02","AvgS_a03","AvgS_a05","AvgS_a06","AvgS_a07","AvgS_a12","AvgS_a08","AvgS_a01","AvgS_a04","AvgS_a09","AvgS_a10","AvgS_b01_2","AvgS_b03_1_min","AvgS_b03_2","AvgS_b04_a","AvgS_b04_b","AvgS_b05","AvgS_b07","AvgS_b08","AvgS_b09_1","AvgS_b09_2","AvgS_b10_max","AvgS_b11_1","AvgS_b11_2","AvgS_b12","AvgS_b02","AvgS_b04","AvgS_b06","AvgS_b13","AvgS_c03","AvgS_c11","AvgS_c02","AvgS_c10","AvgS_c04","AvgS_c05","AvgS_c09","AvgS_c01_2","AvgS_c06","AvgS_c07","AvgS_c08","AvgS_c12","AvgS_c14","AvgS_c15","AvgS_d03_3","AvgS_d04","AvgS_d06","AvgS_d10","AvgS_d11","AvgS_d12","AvgS_d03_1","AvgS_d03_2","AvgS_d05","AvgS_d08","AvgS_d09_0","AvgS_d09_1","AvgS_d03_4","AvgS_e07","AvgS_e12","AvgS_e11","AvgS_e06","AvgS_e01","AvgS_e02","AvgS_e03","AvgS_e04","AvgS_e05","AvgS_e08","AvgS_e09","AvgS_e10","AvgS_e13","AvgS_elig_A","AvgS_elig_B","AvgS_elig_C","AvgS_elig_D","AvgS_cond_A","AvgS_cond_B","AvgS_cond_C","AvgS_cond_D","AvgS_secu_A","AvgS_secu_B","AvgS_secu_C","AvgS_secu_D","AvgS_righ_A","AvgS_righ_B","AvgS_righ_C","AvgS_righ_D","AvgS_ExtReg_A","AvgS_ExtReg_B","AvgS_ExtReg_C","AvgS_ExtReg_D","AvgS_IntReg_A","AvgS_IntReg_B","AvgS_IntReg_C","AvgS_IntReg_D","AvgS_Reg_A","AvgS_Reg_B","AvgS_Reg_C","AvgS_Reg_D","AvgS_ExtCont","AvgS_IntCont","AvgS_Cont","AvgS_ImmPol","CCode","R_adm_guide","R_adm_guide_A","R_adm_guide_B","R_adm_guide_C","R_adm_guide_D","R_adm_guide_E","R_adm_guide_F","name"
"1","at","at",1980,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0.5,0,0.5,0.75,0.5,0,0.5,0.85,0,0.5,0.5,0.5,0.25,0.5,0.7,0,0,0,0.5,0,0,0,0,0.5,0,0.35,0,0.125,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.6,1,0.5,0.5,0,1,1,0.75,1,0.75,0.833333333333333,1,0.25,0.125,NA,1,0.428571432828903,0.5,NA,1,0.462500005960464,0.212500005960464,NA,1,0.699999988079071,0.0416666679084301,NA,1,0.339285731315613,0.3125,NA,1,0.581250011920929,0.127083331346512,NA,1,0.460267871618271,0.219791665673256,NA,0.541666686534882,0.669047594070435,0.60535717010498,0.571354150772095,305,"-1 Yes","-200: 0% administrative guidelines","-201: <50% administrative guidelines","-200: 0% administrative guidelines",NA,"-200: 0% administrative guidelines","-200: 0% administrative guidelines","none"
"2","at","at",1981,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0.5,0,0.5,0.75,0.5,0,0.5,0.85,0,0.5,0.5,0.5,0.25,0.5,0.7,0,0,0,0.5,0,0,0,0,0.5,0,0.35,0,0.125,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.6,1,0.5,0.5,0,1,1,0.75,1,0.75,0.833333333333333,1,0.25,0.125,NA,1,0.428571432828903,0.5,NA,1,0.462500005960464,0.212500005960464,NA,1,0.699999988079071,0.0416666679084301,NA,1,0.339285731315613,0.3125,NA,1,0.581250011920929,0.127083331346512,NA,1,0.460267871618271,0.219791665673256,NA,0.541666686534882,0.669047594070435,0.60535717010498,0.571354150772095,305,"-1 Yes","-200: 0% administrative guidelines","-201: <50% administrative guidelines","-200: 0% administrative guidelines",NA,"-200: 0% administrative guidelines",NA,""
"3","at","at",1982,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0.5,0,0.5,0.75,0.5,0,0.5,0.85,0,0.5,0.5,0.5,0.25,0.5,0.7,0,0,0,0.5,0,0,0,0,0.5,0,0.35,0,0.125,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,1,0.5,0.5,0,1,1,0.75,1,0.75,0.833333333333333,1,0.25,0.125,NA,1,0.428571432828903,0.5,NA,1,0.462500005960464,0.212500005960464,NA,1,0.699999988079071,0.0416666679084301,NA,1,0.339285731315613,0.3125,NA,1,0.581250011920929,0.127083331346512,NA,1,0.460267871618271,0.219791665673256,NA,0.541666686534882,0.654761910438538,0.598214268684387,0.569568455219269,305,"-1 Yes","-200: 0% administrative guidelines","-201: <50% administrative guidelines","-200: 0% administrative guidelines",NA,"-200: 0% administrative guidelines",NA,""
"4","at","at",1983,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0.5,0,0.5,0.75,0.5,0,0.5,0.85,0,0.5,0.5,0.5,0.25,0.5,0.7,0,0,0,0.5,0,0,0,0,0.5,0,0.35,0,0.125,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,1,0.5,0.5,0,1,1,0.75,1,0.75,0.833333333333333,1,0.25,0.125,NA,1,0.428571432828903,0.5,NA,1,0.462500005960464,0.212500005960464,NA,1,0.699999988079071,0.0416666679084301,NA,1,0.339285731315613,0.3125,NA,1,0.581250011920929,0.127083331346512,NA,1,0.460267871618271,0.219791665673256,NA,0.541666686534882,0.654761910438538,0.598214268684387,0.569568455219269,305,"-1 Yes","-200: 0% administrative guidelines","-201: <50% administrative guidelines","-200: 0% administrative guidelines",NA,"-200: 0% administrative guidelines",NA,""
"5","at","at",1984,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0.5,0,0.5,0.75,0.5,0,0.5,0.85,0,0.5,0.5,0.5,0.25,0.5,0.7,0,0,0,0.5,0,0,0,0,0.5,0,0.35,0,0.125,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,1,0.5,0.5,0,1,1,0.75,1,0.75,0.833333333333333,1,0.25,0.125,NA,1,0.428571432828903,0.5,NA,1,0.462500005960464,0.212500005960464,NA,1,0.699999988079071,0.0416666679084301,NA,1,0.339285731315613,0.3125,NA,1,0.581250011920929,0.127083331346512,NA,1,0.460267871618271,0.219791665673256,NA,0.541666686534882,0.654761910438538,0.598214268684387,0.569568455219269,305,"-1 Yes","-200: 0% administrative guidelines","-201: <50% administrative guidelines","-200: 0% administrative guidelines",NA,"-200: 0% administrative guidelines",NA,""
"6","at","at",1985,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0.5,0,0.5,0.75,0.5,0,0.5,0.85,0,0.5,0.5,0.5,0.25,0.5,0.7,0,0,0,0.5,0,0,0,0,0.5,0,0.35,0,0.125,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,1,0.5,0.5,0,1,1,0.75,1,0.75,0.833333333333333,1,0.25,0.125,NA,1,0.428571432828903,0.5,NA,1,0.462500005960464,0.212500005960464,NA,1,0.699999988079071,0.0416666679084301,NA,1,0.339285731315613,0.3125,NA,1,0.581250011920929,0.127083331346512,NA,1,0.460267871618271,0.219791665673256,NA,0.541666686534882,0.654761910438538,0.598214268684387,0.569568455219269,305,"-1 Yes","-200: 0% administrative guidelines","-201: <50% administrative guidelines","-200: 0% administrative guidelines",NA,"-200: 0% administrative guidelines",NA,""
"7","at","at",1986,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0.5,0,0.5,0.75,0.5,0,0.5,0.85,0,0.5,0.5,0.5,0.25,0.5,0.7,0,0,0,0.5,0,0,0,0,0.5,0,0.35,0,0.125,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,1,0.5,0.5,0,1,1,0.75,1,0.75,0.833333333333333,1,0.25,0.125,NA,1,0.428571432828903,0.5,NA,1,0.462500005960464,0.212500005960464,NA,1,0.699999988079071,0.0416666679084301,NA,1,0.339285731315613,0.3125,NA,1,0.581250011920929,0.127083331346512,NA,1,0.460267871618271,0.219791665673256,NA,0.541666686534882,0.654761910438538,0.598214268684387,0.569568455219269,305,"-1 Yes","-200: 0% administrative guidelines","-201: <50% administrative guidelines","-200: 0% administrative guidelines",NA,"-200: 0% administrative guidelines",NA,""
"8","at","at",1987,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0.5,0,0.5,0.75,0.5,0,0.5,0.85,0,0.5,0.5,0.5,0.25,0.5,0.7,0,0,0,0.5,0,0,0,0,0.5,0,0.35,0,0.125,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,1,0.5,0.5,0,1,1,0.75,1,0.75,0.833333333333333,1,0.25,0.125,NA,1,0.428571432828903,0.5,NA,1,0.462500005960464,0.212500005960464,NA,1,0.699999988079071,0.0416666679084301,NA,1,0.339285731315613,0.3125,NA,1,0.581250011920929,0.127083331346512,NA,1,0.460267871618271,0.219791665673256,NA,0.541666686534882,0.654761910438538,0.598214268684387,0.569568455219269,305,"-1 Yes","-200: 0% administrative guidelines","-201: <50% administrative guidelines","-200: 0% administrative guidelines",NA,"-200: 0% administrative guidelines",NA,""
"9","at","at",1988,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0.5,0,0.5,0.75,0.5,0,0.5,0.85,0,0.5,0.5,0.5,0.25,0.5,0.7,0,0,0,0.5,0,0,0,0,0.5,0,0.35,0,0.125,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,1,0.5,0.5,0,1,1,0.75,1,0.75,0.833333333333333,1,0.25,0.125,NA,1,0.428571432828903,0.5,NA,1,0.462500005960464,0.212500005960464,NA,1,0.699999988079071,0.0416666679084301,NA,1,0.339285731315613,0.3125,NA,1,0.581250011920929,0.127083331346512,NA,1,0.460267871618271,0.219791665673256,NA,0.541666686534882,0.654761910438538,0.598214268684387,0.569568455219269,305,"-1 Yes","-200: 0% administrative guidelines","-201: <50% administrative guidelines","-200: 0% administrative guidelines",NA,"-200: 0% administrative guidelines",NA,""
"10","at","at",1989,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0.5,0,0.5,0.75,0.5,0,0.5,0.85,0,0.5,0.5,0.5,0.25,0.5,0.7,0,0,0,0.5,0,0,0,0,0.5,0,0.35,0,0.125,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.6,1,0.5,0.5,0,1,1,0.75,1,0.75,0.833333333333333,1,0.25,0.125,NA,1,0.428571432828903,0.5,NA,1,0.462500005960464,0.212500005960464,NA,1,0.699999988079071,0.0416666679084301,NA,1,0.339285731315613,0.3125,NA,1,0.581250011920929,0.127083331346512,NA,1,0.460267871618271,0.219791665673256,NA,0.541666686534882,0.669047594070435,0.60535717010498,0.571354150772095,305,"-1 Yes","-200: 0% administrative guidelines","-201: <50% administrative guidelines","-200: 0% administrative guidelines",NA,"-200: 0% administrative guidelines",NA,""
