cname,migration,m_year,year_before,year_after,,,
Australia,456227,1982,0.6037361,0.6037361,,,
Austria,18002,1982,0.5713542,0.5695685,,,
Belgium,18478,1982,0.3940848,0.3940848,,,
Canada,376129,1982,0.3186731,0.3219283,,,
Chile,81040,1982,0.4081969,0.4081969,,,
Czech Republic,-63513,1982,0.85875,0.85875,,,
Denmark,-52946,1982,0.4936012,0.3609127,,,
Estonia,23,1982,0.63,0.63,,,
Germany,9319,1982,0.4528393,0.4528393,,,
Greece,-43292,1982,0.4537798,0.4537798,,,
Hungary,25900,1982,0.552996,0.552996,,,
Iceland,-97495,1982,0.6953125,0.6953125,,,
Ireland,100241,1982,0.6834425,0.6834425,,,
Israel,-115800,1982,0.3945933,0.3954861,,,
Japan,-50745,1982,0.4753472,0.4559623,,,
Luxembourg,260,1982,0.3856796,0.3856796,,,
Mexico,2604,1982,0.5555437,0.5555437,,,
Netherlands,50002,1982,0.411875,0.411875,,,
New Zealand,2552,1982,0.6147223,0.6147223,,,
Norway,-1519000,1982,0.3651414,0.3651414,,,
Poland,71525,1982,0.9291667,0.9291667,,,
Slovakia,24805,1982,0.4189286,0.4189286,,,
Spain,-2908,1982,0.6995834,0.6995834,,,
Sweden,-119193,1982,0.3484189,0.3484189,,,
Switzerland,-34777,1982,0.3606151,0.3595982,,,
Turkey,29799,1982,0.4948611,0.4948611,,,
United Kingdom,-69997,1982,0.3422123,0.3422123,,,
United States,3402260,1982,0.4182763,0.4182763,,,
Australia,666233,1987,0.6037361,0.6037361,,,
Austria,110999,1987,0.5695685,0.5695685,,,
Belgium,42556,1987,0.3924107,0.406994,,,
Canada,875013,1987,0.3223797,0.3206436,,,
Chile,130857,1987,0.4081969,0.4081969,,,
Czech Republic,-20953,1987,0.85875,0.85875,,,
Denmark,5671,1987,0.3588294,0.355258,,,
Estonia,1714683,1987,0.63,0.63,,,
Germany,32839,1987,0.4528393,0.4528393,,,
Greece,-67680,1987,0.4537798,0.4537798,,,
Hungary,15497,1987,0.552996,0.5612698,,,
Iceland,98758,1987,0.6953125,0.6953125,,,
Ireland,178887,1987,0.6834425,0.6834425,,,
Israel,-91554,1987,0.3961111,0.3952183,,,
Japan,-115193,1987,0.4591568,0.4591568,,,
Luxembourg,646,1987,0.3856796,0.3831795,,,
Mexico,65418,1987,0.5555437,0.5555437,,,
Netherlands,-298339,1987,0.4047321,0.4047321,,,
New Zealand,12831,1987,0.3183532,0.4444246,,,
Norway,-1785998,1987,0.3651414,0.3252108,,,
Poland,139748,1987,0.9291667,0.9291667,,,
Slovakia,38715,1987,0.3955953,0.3955953,,,
Spain,-9418,1987,0.4359425,0.4466568,,,
Sweden,-304973,1987,0.3692522,0.3692522,,,
